# Tetrahedron method
       -0.8901897869        0.0000000000
       -0.8296477541        0.0000000000
       -0.7691057214        0.0000000000
       -0.7085636886        0.0000000000
       -0.6480216559        0.0000000000
       -0.5874796231        0.0000000000
       -0.5269375903        0.0000000000
       -0.4663955576        0.0000000000
       -0.4058535248        0.0000000000
       -0.3453114921        0.0000000000
       -0.2847694593        0.0000000000
       -0.2242274266        0.0000000000
       -0.1636853938        0.0000000000
       -0.1031433611        0.0000000000
       -0.0426013283        0.0000000000
        0.0179407044        0.0000000000
        0.0784827372        0.0000000000
        0.1390247699        0.0416830751
        0.1995668027        0.0516851473
        0.2601088354        0.0888242353
        0.3206508682        0.0985954768
        0.3811929010        0.1083853876
        0.4417349337        0.1346234437
        0.5022769665        0.1450278749
        0.5628189992        0.1548676772
        0.6233610320        0.1643922249
        0.6839030647        0.1731560925
        0.7444450975        0.1842456007
        0.8049871302        0.1943183356
        0.8655291630        0.2036101106
        0.9260711957        0.2135210010
        0.9866132285        0.2226042969
        1.0471552612        0.2310010647
        1.1076972940        0.2408081689
        1.1682393267        0.2536737537
        1.2287813595        0.2639079371
        1.2893233923        0.2731448789
        1.3498654250        0.2827575381
        1.4104074578        0.2929469951
        1.4709494905        0.3044899282
        1.5314915233        0.3139174872
        1.5920335560        0.3255218650
        1.6525755888        0.3364688611
        1.7131176215        0.3476066884
        1.7736596543        0.3602759008
        1.8342016870        0.3742196688
        1.8947437198        0.3874338047
        1.9552857525        0.3993734028
        2.0158277853        0.4138147957
        2.0763698181        0.4287807904
        2.1369118508        0.4443668063
        2.1974538836        0.4583771622
        2.2579959163        0.4746107412
        2.3185379491        0.4923268307
        2.3790799818        0.5111470451
        2.4396220146        0.5388993492
        2.5001640473        0.5592672646
        2.5607060801        0.5814924718
        2.6212481128        0.6097686869
        2.6817901456        0.6375503132
        2.7423321783        0.6781313679
        2.8028742111        0.7055324713
        2.8634162438        0.7394988982
        2.9239582766        0.7927686765
        2.9845003094        0.8679152166
        3.0450423421        0.9510694173
        3.1055843749        1.0973928108
        3.1661264076        1.4583318451
        3.2266684404        1.2374497419
        3.2872104731        1.1390038762
        3.3477525059        1.1154245006
        3.4082945386        1.1100173552
        3.4688365714        1.1543665202
        3.5293786041        1.1799528151
        3.5899206369        1.3006747333
        3.6504626696        1.9073576334
        3.7110047024        3.5222218022
        3.7715467351        1.9019088849
        3.8320887679        1.0967287143
        3.8926308007        0.8788991533
        3.9531728334        0.7646146433
        4.0137148662        0.3317471960
        4.0742568989        0.4180847271
        4.1347989317        0.5449723396
        4.1953409644        0.6942873167
        4.2558829972        0.7787358244
        4.3164250299        0.8651421109
        4.3769670627        1.0215991544
        4.4375090954        1.5482700380
        4.4980511282        1.2346210971
        4.5585931609        1.0516282086
        4.6191351937        0.8812140888
        4.6796772264        0.6853169060
        4.7402192592        0.6720284276
        4.8007612920        0.8678743903
        4.8613033247        0.0000000000
        4.9218453575        0.9774151858
        4.9823873902        1.0952821791
        5.0429294230        1.2247449544
        5.1034714557        1.4194982330
        5.1640134885        1.6166496422
        5.2245555212        1.9640100461
        5.2850975540        2.4810254187
        5.3456395867        1.7047475200
        5.4061816195        1.3952827277
        5.4667236522        1.2455248200
        5.5272656850        1.1691182618
        5.5878077178        1.1373352779
        5.6483497505        1.1542799485
        5.7088917833        3.8382718399
        5.7694338160        0.6368186827
        5.8299758488        2.8642780819
        5.8905178815        5.3701610371
        5.9510599143        4.1331205699
        6.0116019470        0.5956128164
        6.0721439798        0.8033796848
        6.1326860125        1.3644870044
        6.1932280453        1.8697132257
        6.2537700780        2.2150303512
        6.3143121108        4.6514098273
        6.3748541435        2.1264911988
        6.4353961763        0.6383601449
        6.4959382091        0.5192855577
        6.5564802418        0.4588801553
        6.6170222746        0.4120534248
        6.6775643073        0.3719070772
        6.7381063401        0.3420528446
        6.7986483728        0.3181339435
        6.8591904056        0.2944496905
        6.9197324383        0.2739666421
        6.9802744711        0.2572486196
        7.0408165038        0.2433712834
        7.1013585366        0.2312494144
        7.1619005693        0.0000000000
        7.2224426021        0.0000000000
        7.2829846348        0.0000000000
        7.3435266676        0.0000000000
        7.4040687004        0.0000000000
        7.4646107331        0.0000000000
        7.5251527659        0.0000000000
        7.5856947986        0.0000000000
        7.6462368314        0.0000000000
        7.7067788641        0.0000000000
        7.7673208969        0.0000000000
        7.8278629296        0.0000000000
        7.8884049624        0.0000000000
        7.9489469951        0.0000000000
        8.0094890279        0.1091795450
        8.0700310606        1.3400519227
        8.1305730934        1.8230283291
        8.1911151261        3.2247147384
        8.2516571589        3.6861658067
        8.3121991917        3.1618782107
        8.3727412244        1.9245440657
        8.4332832572        3.1510054136
        8.4938252899        3.3316217545
        8.5543673227        5.9635172947
        8.6149093554        0.6528214055
        8.6754513882        1.5231888472
        8.7359934209        1.6781049566
        8.7965354537        1.0876218026
        8.8570774864        0.8807851280
        8.9176195192        0.7559829888
        8.9781615519        0.6618574700
        9.0387035847        0.5969597034
        9.0992456175        0.5490048841
        9.1597876502        0.5035317906
        9.2203296830        0.4708108206
        9.2808717157        0.4458941221
        9.3414137485        0.4178348564
        9.4019557812        0.3999724485
        9.4624978140        0.3822166252
        9.5230398467        0.3666872683
        9.5835818795        0.3523176191
        9.6441239122        0.3399189038
        9.7046659450        0.3280791373
        9.7652079777        0.3192007148
        9.8257500105        0.3101982962
        9.8862920432        0.2989162101
        9.9468340760        0.2933858961
       10.0073761088        0.2833714366
       10.0679181415        0.2862463418
       10.1284601743        0.2669976748
       10.1890022070        0.2502753066
       10.2495442398        0.0000000000
